Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:14:50.975 -> 04:14:53,48,-31.977451,115.816299,250000,5,915000000,7,12,-69,-130,9.75,-31.977710,115.816479
12:14:52.493 -> 04:14:55,49,-31.977457,115.816292,250000,5,915000000,7,12,-69,-131,10.00,-31.977714,115.816485
12:14:56.052 -> 04:14:59,50,-31.977468,115.816292,250000,5,915000000,7,12,-66,-130,10.50,-31.977717,115.816486
12:14:57.573 -> 04:15:00,51,-31.977470,115.816292,250000,5,915000000,7,14,-64,-104,9.75,-31.977703,115.816494
12:14:59.100 -> 04:15:02,52,-31.977476,115.816292,250000,5,915000000,7,14,-66,-130,10.25,-31.977717,115.816488
12:15:00.619 -> 04:15:03,53,-31.977468,115.816292,250000,5,915000000,7,14,-65,-130,10.00,-31.977709,115.816483
12:15:02.155 -> 04:15:05,54,-31.977468,115.816292,250000,5,915000000,7,14,-64,-130,9.75,-31.977708,115.816494
12:15:03.688 -> 04:15:06,55,-31.977474,115.816292,250000,5,915000000,7,14,-72,-130,10.00,-31.977715,115.816479
12:15:05.232 -> 04:15:08,56,-31.977474,115.816292,250000,5,915000000,7,14,-64,-130,11.50,-31.977708,115.816479
12:15:06.767 -> 04:15:09,57,-31.977484,115.816292,250000,5,915000000,7,14,-61,-130,9.75,-31.977700,115.816482
12:15:08.301 -> 04:15:11,58,-31.977484,115.816292,250000,5,915000000,7,14,-63,-96,10.00,-31.977709,115.816483
12:15:09.814 -> 04:15:12,59,-31.977486,115.816292,250000,5,915000000,7,14,-63,-130,10.00,-31.977702,115.816490
12:15:11.355 -> 04:15:14,60,-31.977486,115.816292,250000,5,915000000,7,14,-62,-130,10.00,-31.977707,115.816484
12:15:12.888 -> 04:15:15,61,-31.977482,115.816292,250000,5,915000000,7,14,-67,-130,10.00,-31.977718,115.816490
12:15:14.404 -> 04:15:17,62,-31.977476,115.816299,250000,5,915000000,7,14,-67,-131,9.50,-31.977700,115.816494
12:15:15.939 -> 04:15:18,63,-31.977488,115.816292,250000,5,915000000,7,14,-68,-99,9.75,-31.977714,115.816490
12:15:17.455 -> 04:15:20,64,-31.977488,115.816292,250000,5,915000000,7,14,-68,-99,9.50,-31.977713,115.816484
12:15:19.000 -> 04:15:22,65,-31.977493,115.816292,250000,5,915000000,7,14,-68,-130,9.75,-31.977702,115.816490
12:15:20.550 -> 04:15:23,66,-31.977495,115.816292,250000,5,915000000,7,14,-68,-130,9.75,-31.977716,115.816484
12:15:22.058 -> 04:15:25,67,-31.977493,115.816292,250000,5,915000000,7,14,-64,-130,10.00,-31.977711,115.816490
12:15:23.607 -> 04:15:26,68,-31.977489,115.816299,250000,5,915000000,7,14,-68,-102,9.50,-31.977711,115.816492
12:15:25.131 -> 04:15:28,69,-31.977488,115.816299,250000,5,915000000,7,14,-66,-130,10.00,-31.977719,115.816479
12:15:26.655 -> 04:15:29,70,-31.977489,115.816299,250000,5,915000000,7,14,-65,-99,10.00,-31.977705,115.816475
12:15:28.188 -> 04:15:31,71,-31.977489,115.816299,250000,5,915000000,7,14,-66,-130,10.00,-31.977711,115.816489
12:15:29.724 -> 04:15:32,72,-31.977472,115.816299,250000,5,915000000,7,14,-65,-130,9.75,-31.977703,115.816487
12:15:31.273 -> 04:15:34,73,-31.977472,115.816299,250000,5,915000000,7,14,-66,-130,10.00,-31.977719,115.816474
12:15:32.789 -> 04:15:35,74,-31.977449,115.816315,250000,5,915000000,7,14,-65,-130,10.00,-31.977715,115.816492
12:15:34.297 -> 04:15:37,75,-31.977449,115.816315,250000,5,915000000,7,14,-65,-124,9.75,-31.977709,115.816480
12:15:35.859 -> 04:15:38,76,-31.977444,115.816315,250000,5,915000000,7,14,-66,-130,10.50,-31.977701,115.816479
12:15:37.373 -> 04:15:40,77,-31.977442,115.816315,250000,5,915000000,7,14,-67,-100,10.50,-31.977708,115.816487
