Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:18:38.698 -> 04:18:41,32,-31.977591,115.816299,250000,5,915000000,7,12,-66,-129,10.00,-31.977701,115.816484
12:18:40.224 -> 04:18:43,33,-31.977591,115.816299,250000,5,915000000,7,12,-67,-96,9.50,-31.977705,115.816477
12:18:41.763 -> 04:18:44,34,-31.977589,115.816345,250000,5,915000000,7,12,-68,-129,10.00,-31.977719,115.816490
12:18:43.284 -> 04:18:46,35,-31.977589,115.816345,250000,5,915000000,7,12,-67,-98,9.75,-31.977706,115.816477
12:18:44.800 -> 04:18:47,36,-31.977638,115.816299,250000,5,915000000,7,12,-67,-129,10.25,-31.977711,115.816484
12:18:46.363 -> 04:18:49,37,-31.977667,115.816277,250000,5,915000000,7,12,-67,-130,10.25,-31.977711,115.816487
12:18:47.871 -> 04:18:50,38,-31.977715,115.816238,250000,5,915000000,7,12,-66,-98,10.25,-31.977713,115.816489
12:18:49.389 -> 04:18:52,39,-31.977736,115.816208,250000,5,915000000,7,12,-67,-129,9.50,-31.977711,115.816484
12:18:50.937 -> 04:18:53,40,-31.977736,115.816208,250000,5,915000000,7,12,-67,-132,9.50,-31.977714,115.816488
12:18:52.455 -> 04:18:55,41,-31.977736,115.816208,250000,5,915000000,7,12,-67,-100,10.00,-31.977712,115.816476
12:18:54.011 -> 04:18:56,42,-31.977736,115.816208,250000,5,915000000,7,12,-68,-98,9.50,-31.977707,115.816474
12:18:55.540 -> 04:18:58,43,-31.977736,115.816208,250000,5,915000000,7,12,-67,-130,10.00,-31.977707,115.816491
12:18:57.040 -> 04:19:00,44,-31.977736,115.816208,250000,5,915000000,7,12,-68,-130,9.75,-31.977703,115.816487
12:18:58.588 -> 04:19:01,45,-31.977736,115.816208,250000,5,915000000,7,12,-67,-130,10.00,-31.977715,115.816483
12:19:00.113 -> 04:19:02,46,-31.977736,115.816208,250000,5,915000000,7,12,-68,-130,9.50,-31.977719,115.816478
12:19:01.662 -> 04:19:04,47,-31.977776,115.816261,250000,5,915000000,7,12,-67,-98,10.50,-31.977700,115.816493
12:19:03.178 -> 04:19:06,48,-31.977776,115.816261,250000,5,915000000,7,12,-67,-129,10.00,-31.977719,115.816489
12:19:04.720 -> 04:19:07,49,-31.977764,115.816338,250000,5,915000000,7,12,-68,-130,9.75,-31.977705,115.816479
12:19:08.237 -> 04:19:11,50,-31.977764,115.816338,250000,5,915000000,7,12,-65,-96,10.25,-31.977716,115.816488
12:19:09.780 -> 04:19:12,51,-31.977642,115.816360,250000,5,915000000,7,14,-65,-94,9.75,-31.977714,115.816488
12:19:11.295 -> 04:19:14,52,-31.977642,115.816360,250000,5,915000000,7,14,-66,-129,10.00,-31.977701,115.816489
12:19:12.841 -> 04:19:15,53,-31.977581,115.816307,250000,5,915000000,7,14,-65,-130,10.25,-31.977715,115.816488
12:19:14.391 -> 04:19:17,54,-31.977554,115.816292,250000,5,915000000,7,14,-66,-130,10.00,-31.977717,115.816480
12:19:15.885 -> 04:19:18,55,-31.977524,115.816223,250000,5,915000000,7,14,-65,-130,10.00,-31.977712,115.816494
12:19:17.430 -> 04:19:20,56,-31.977531,115.816223,250000,5,915000000,7,14,-65,-129,10.00,-31.977718,115.816479
12:19:18.963 -> 04:19:21,57,-31.977530,115.816200,250000,5,915000000,7,14,-65,-96,10.00,-31.977717,115.816490
12:19:20.500 -> 04:19:23,58,-31.977518,115.816200,250000,5,915000000,7,14,-66,-130,9.75,-31.977713,115.816483
12:19:22.012 -> 04:19:25,59,-31.977497,115.816246,250000,5,915000000,7,14,-65,-130,10.00,-31.977720,115.816484
12:19:23.544 -> 04:19:26,60,-31.977484,115.816284,250000,5,915000000,7,14,-65,-129,10.25,-31.977718,115.816475
12:19:25.071 -> 04:19:28,61,-31.977476,115.816422,250000,5,915000000,7,14,-65,-130,10.25,-31.977701,115.816477
12:19:26.611 -> 04:19:29,62,-31.977493,115.816551,250000,5,915000000,7,14,-65,-100,10.00,-31.977701,115.816482
12:19:28.146 -> 04:19:31,63,-31.977507,115.816589,250000,5,915000000,7,14,-66,-130,10.00,-31.977705,115.816489
12:19:29.671 -> 04:19:32,64,-31.977543,115.816635,250000,5,915000000,7,14,-66,-130,9.75,-31.977708,115.816488
12:19:31.215 -> 04:19:34,65,-31.977573,115.816673,250000,5,915000000,7,14,-66,-96,10.00,-31.977702,115.816484
12:19:32.759 -> 04:19:35,66,-31.977583,115.816689,250000,5,915000000,7,14,-66,-98,10.00,-31.977706,115.816475
12:19:34.275 -> 04:19:37,67,-31.977583,115.816689,250000,5,915000000,7,14,-65,-130,10.00,-31.977705,115.816485
12:19:35.812 -> 04:19:38,68,-31.977617,115.816689,250000,5,915000000,7,14,-65,-130,10.25,-31.977705,115.816493
12:19:37.336 -> 04:19:40,69,-31.977617,115.816689,250000,5,915000000,7,14,-65,-96,9.50,-31.977709,115.816488
12:19:38.864 -> 04:19:41,70,-31.977625,115.816620,250000,5,915000000,7,14,-65,-130,10.00,-31.977707,115.816492
12:19:40.413 -> 04:19:43,71,-31.977608,115.816597,250000,5,915000000,7,14,-65,-129,9.75,-31.977700,115.816475
12:19:41.913 -> 04:19:44,72,-31.977585,115.816528,250000,5,915000000,7,14,-64,-130,10.00,-31.977708,115.816486
12:19:43.465 -> 04:19:46,73,-31.977581,115.816498,250000,5,915000000,7,14,-66,-130,10.00,-31.977701,115.816492
12:19:44.975 -> 04:19:47,74,-31.977560,115.816460,250000,5,915000000,7,14,-65,-130,10.00,-31.977708,115.816475
12:19:46.529 -> 04:19:49,75,-31.977556,115.816467,250000,5,915000000,7,14,-64,-130,10.00,-31.977708,115.816479
12:19:48.037 -> 04:19:50,76,-31.977547,115.816490,250000,5,915000000,7,14,-65,-94,10.00,-31.977704,115.816492
12:19:49.583 -> 04:19:52,77,-31.977512,115.816505,250000,5,915000000,7,14,-64,-93,10.00,-31.977705,115.816490
12:19:51.120 -> 04:19:54,78,-31.977503,115.816483,250000,5,915000000,7,14,-64,-130,10.25,-31.977714,115.816489
12:19:52.656 -> 04:19:55,79,-31.977484,115.816467,250000,5,915000000,7,14,-67,-130,10.00,-31.977712,115.816476
12:19:54.164 -> 04:19:57,80,-31.977484,115.816467,250000,5,915000000,7,14,-67,-131,10.00,-31.977705,115.816485
12:19:55.722 -> 04:19:58,81,-31.977459,115.816460,250000,5,915000000,7,14,-67,-129,9.75,-31.977712,115.816474
12:19:57.231 -> 04:20:00,82,-31.977459,115.816460,250000,5,915000000,7,14,-66,-130,10.00,-31.977703,115.816477
12:19:58.781 -> 04:20:01,83,-31.977417,115.816444,250000,5,915000000,7,14,-65,-100,10.25,-31.977706,115.816493
12:20:00.307 -> 04:20:03,84,-31.977417,115.816444,250000,5,915000000,7,14,-65,-98,10.25,-31.977706,115.816485
12:20:01.840 -> 04:20:04,85,-31.977396,115.816460,250000,5,915000000,7,14,-65,-130,10.00,-31.977707,115.816488
12:20:03.366 -> 04:20:06,86,-31.977385,115.816452,250000,5,915000000,7,14,-65,-129,9.75,-31.977705,115.816483
12:20:04.890 -> 04:20:07,87,-31.977383,115.816422,250000,5,915000000,7,14,-65,-129,10.25,-31.977720,115.816475
12:20:06.436 -> 04:20:09,88,-31.977386,115.816399,250000,5,915000000,7,14,-64,-94,10.00,-31.977701,115.816492
12:20:07.951 -> 04:20:10,89,-31.977396,115.816368,250000,5,915000000,7,14,-65,-130,10.00,-31.977705,115.816484
12:20:09.477 -> 04:20:12,90,-31.977413,115.816345,250000,5,915000000,7,14,-63,-130,9.75,-31.977704,115.816480
12:20:11.017 -> 04:20:14,91,-31.977430,115.816353,250000,5,915000000,7,14,-64,-130,10.00,-31.977705,115.816490
