Time,Number,S_Lat,S_Long,Bandwidth,CodingRate,Frequency,SpreadingFactor,TxPower,PacketRSSI,RSSI,SNR,R_Lat,R_Long
12:23:52.352 -> 04:23:55,48,-31.977167,115.816200,250000,5,915000000,7,12,-88,-131,10.00,-31.977700,115.816481
12:23:53.898 -> 04:23:56,49,-31.977165,115.816200,250000,5,915000000,7,12,-87,-110,9.75,-31.977712,115.816492
12:23:57.428 -> 04:24:00,50,-31.977165,115.816200,250000,5,915000000,7,12,-85,-110,9.75,-31.977713,115.816482
12:23:58.967 -> 04:24:01,51,-31.977163,115.816200,250000,5,915000000,7,14,-87,-103,9.50,-31.977708,115.816492
12:24:00.473 -> 04:24:03,52,-31.977161,115.816200,250000,5,915000000,7,14,-88,-130,9.75,-31.977716,115.816492
12:24:02.018 -> 04:24:05,53,-31.977160,115.816200,250000,5,915000000,7,14,-90,-130,10.00,-31.977716,115.816481
12:24:03.540 -> 04:24:06,54,-31.977160,115.816200,250000,5,915000000,7,14,-86,-110,9.75,-31.977720,115.816483
12:24:05.093 -> 04:24:08,55,-31.977158,115.816193,250000,5,915000000,7,14,-86,-131,9.75,-31.977705,115.816485
12:24:06.613 -> 04:24:09,56,-31.977156,115.816193,250000,5,915000000,7,14,-86,-116,9.50,-31.977710,115.816481
12:24:08.143 -> 04:24:11,57,-31.977156,115.816193,250000,5,915000000,7,14,-87,-110,10.00,-31.977710,115.816488
12:24:09.681 -> 04:24:12,58,-31.977156,115.816193,250000,5,915000000,7,14,-86,-130,9.75,-31.977703,115.816487
12:24:11.215 -> 04:24:14,59,-31.977156,115.816193,250000,5,915000000,7,14,-86,-103,9.75,-31.977719,115.816491
12:24:12.743 -> 04:24:15,60,-31.977154,115.816193,250000,5,915000000,7,14,-86,-130,9.75,-31.977710,115.816484
12:24:14.256 -> 04:24:17,61,-31.977154,115.816193,250000,5,915000000,7,14,-86,-102,9.75,-31.977710,115.816478
12:24:15.813 -> 04:24:18,62,-31.977154,115.816193,250000,5,915000000,7,14,-88,-110,9.50,-31.977717,115.816481
12:24:17.339 -> 04:24:20,63,-31.977154,115.816193,250000,5,915000000,7,14,-86,-130,7.25,-31.977718,115.816491
12:24:18.881 -> 04:24:21,64,-31.977158,115.816193,250000,5,915000000,7,14,-87,-130,9.75,-31.977702,115.816482
12:24:20.413 -> 04:24:23,65,-31.977158,115.816193,250000,5,915000000,7,14,-87,-108,9.75,-31.977709,115.816486
12:24:21.932 -> 04:24:24,66,-31.977160,115.816193,250000,5,915000000,7,14,-87,-130,9.50,-31.977705,115.816494
12:24:23.473 -> 04:24:26,67,-31.977160,115.816193,250000,5,915000000,7,14,-85,-130,9.50,-31.977717,115.816476
12:24:24.981 -> 04:24:27,68,-31.977161,115.816193,250000,5,915000000,7,14,-86,-130,9.50,-31.977703,115.816483
12:24:26.502 -> 04:24:29,69,-31.977161,115.816193,250000,5,915000000,7,14,-86,-105,9.75,-31.977715,115.816475
12:24:28.060 -> 04:24:31,70,-31.977163,115.816193,250000,5,915000000,7,14,-85,-130,9.00,-31.977712,115.816482
12:24:29.579 -> 04:24:32,71,-31.977163,115.816193,250000,5,915000000,7,14,-85,-130,9.50,-31.977709,115.816493
12:24:31.097 -> 04:24:34,72,-31.977165,115.816193,250000,5,915000000,7,14,-85,-130,9.50,-31.977701,115.816477
12:24:32.644 -> 04:24:35,73,-31.977165,115.816193,250000,5,915000000,7,14,-85,-130,9.50,-31.977715,115.816486
12:24:34.181 -> 04:24:37,74,-31.977165,115.816193,250000,5,915000000,7,14,-85,-130,9.25,-31.977714,115.816484
12:24:35.715 -> 04:24:38,75,-31.977169,115.816193,250000,5,915000000,7,14,-85,-130,9.75,-31.977700,115.816493
12:24:37.230 -> 04:24:40,76,-31.977169,115.816193,250000,5,915000000,7,14,-83,-130,9.75,-31.977701,115.816484
12:24:38.761 -> 04:24:41,77,-31.977171,115.816193,250000,5,915000000,7,14,-84,-130,9.75,-31.977712,115.816484
12:24:40.314 -> 04:24:43,78,-31.977171,115.816193,250000,5,915000000,7,14,-84,-130,9.50,-31.977706,115.816492
12:24:41.826 -> 04:24:44,79,-31.977173,115.816193,250000,5,915000000,7,14,-83,-130,10.25,-31.977709,115.816478
12:24:43.352 -> 04:24:46,80,-31.977173,115.816193,250000,5,915000000,7,14,-84,-130,9.50,-31.977716,115.816490
12:24:44.897 -> 04:24:47,81,-31.977175,115.816193,250000,5,915000000,7,14,-84,-130,9.75,-31.977703,115.816478
12:24:46.437 -> 04:24:49,82,-31.977177,115.816193,250000,5,915000000,7,14,-84,-130,9.75,-31.977718,115.816477
12:24:47.955 -> 04:24:50,83,-31.977179,115.816193,250000,5,915000000,7,14,-85,-131,10.00,-31.977714,115.816491
12:24:49.467 -> 04:24:52,84,-31.977179,115.816193,250000,5,915000000,7,14,-85,-108,9.00,-31.977700,115.816479
12:24:51.027 -> 04:24:54,85,-31.977180,115.816193,250000,5,915000000,7,14,-84,-130,10.25,-31.977712,115.816486
12:24:52.534 -> 04:24:55,86,-31.977182,115.816185,250000,5,915000000,7,14,-85,-130,9.50,-31.977704,115.816485
12:24:54.063 -> 04:24:56,87,-31.977182,115.816185,250000,5,915000000,7,14,-85,-107,10.00,-31.977711,115.816483
12:24:55.609 -> 04:24:57,88,-31.977182,115.816185,250000,5,915000000,7,14,-85,-128,10.00,-31.977704,115.816484
12:24:57.127 -> 04:25:00,89,-31.977182,115.816185,250000,5,915000000,7,14,-84,-128,10.25,-31.977707,115.816479
12:24:58.672 -> 04:25:01,90,-31.977182,115.816185,250000,5,915000000,7,14,-84,-110,9.75,-31.977710,115.816493
12:25:00.184 -> 04:25:03,91,-31.977182,115.816185,250000,5,915000000,7,14,-84,-110,9.75,-31.977711,115.816475
12:25:01.728 -> 04:25:04,92,-31.977184,115.816185,250000,5,915000000,7,14,-84,-131,10.25,-31.977716,115.816477
12:25:03.252 -> 04:25:06,93,-31.977184,115.816185,250000,5,915000000,7,14,-84,-129,9.75,-31.977717,115.816487
12:25:04.798 -> 04:25:07,94,-31.977186,115.816185,250000,5,915000000,7,14,-83,-129,9.75,-31.977712,115.816493
12:25:06.315 -> 04:25:09,95,-31.977186,115.816185,250000,5,915000000,7,14,-84,-128,10.00,-31.977706,115.816481
12:25:07.865 -> 04:25:10,96,-31.977188,115.816193,250000,5,915000000,7,14,-85,-129,10.00,-31.977717,115.816486
12:25:09.369 -> 04:25:12,97,-31.977188,115.816193,250000,5,915000000,7,14,-84,-128,9.75,-31.977715,115.816480
12:25:10.907 -> 04:25:13,98,-31.977190,115.816193,250000,5,915000000,7,14,-84,-128,10.00,-31.977719,115.816482
12:25:12.446 -> 04:25:15,99,-31.977190,115.816193,250000,5,915000000,7,14,-84,-105,9.75,-31.977705,115.816474
12:25:15.977 -> 04:25:17,100,-31.977190,115.816193,250000,5,915000000,7,14,-81,-128,10.00,-31.977713,115.816483
12:25:17.509 -> 04:25:20,101,-31.977190,115.816193,250000,5,915000000,7,10,-81,-105,9.50,-31.977702,115.816487
12:25:19.027 -> 04:25:22,102,-31.977190,115.816193,250000,5,915000000,7,10,-79,-129,8.75,-31.977707,115.816488
12:25:20.564 -> 04:25:23,103,-31.977190,115.816193,250000,5,915000000,7,10,-81,-112,10.00,-31.977704,115.816492
12:25:22.106 -> 04:25:25,104,-31.977188,115.816193,250000,5,915000000,7,10,-81,-129,9.50,-31.977714,115.816476
12:25:23.647 -> 04:25:26,105,-31.977188,115.816193,250000,5,915000000,7,10,-81,-129,9.75,-31.977710,115.816482
